,1,Jeannie Krause,0
2321,2736,Neil Gallagher,6
2736,4772,Nicholas Morales,7
706,1146,Kurtis Tate,5
706,1273,Brian Nelson,5
1273,2529,Genevieve Horn,6
2529,3094,Marie Watkins,7
2529,3296,Madeline Mays,7
1146,1593,Marlin Fuentes,6
1146,2182,Dylan Bradley,6
1146,2522,Edward Campbell,6
2522,4090,Johnnie Hobbs,7
1593,4058,Jenny Hardin,7
1593,4166,Calvin Ortega,7
228,249,Alma Hutchinson,4
228,1087,Graham Pitts,4
228,2463,Cedric Hood,4
2463,2662,Jeff Bass,5
2463,4742,Dave Quinn,5
2662,4163,Maria Garcia,6
1087,2893,Aileen Lindsey,5
2893,3494,Paul Allen,6
126,301,Eric Cook,4
301,562,Genevieve Horn,5
301,776,Colin Bowers,5
301,2523,Kurt Fischer,5
301,4322,Susie Valencia,5
2523,2667,Fabian Joseph,6
2667,3582,Stephen Morgan,7
3582,3945,Carl Wallace,8
776,2249,Lloyd Decker,6
776,4562,Matthew Thompson,6
4562,4743,Albert West,7
2249,4439,Judy Armstrong,7
562,1930,Justin Reed,6
562,3171,Rebecca Phillips,6
45,70,Joyce Butler,3
45,300,Leticia Klein,3
300,591,Angela Murphy,4
300,1568,Noah Hart,4
300,2651,Carlos Graves,4
300,3685,Sara Griffin,4
2651,2963,Roderick Compton,5
2963,4737,Johnnie Boyer,6
1568,3477,Inez Conley,5
1568,3608,Selma Pena,5
3608,4076,Christine Wood,6
3477,3904,Rosemarie Dickerson,6
591,2513,Aida Lindsey,5
591,3435,Marilyn Ferguson,5
70,2194,Juanita Krueger,4
70,3223,Carroll Bullock,4
3223,3533,Cyrus Fuentes,5
3533,3759,Beverly Weaver,6
3759,4820,Logan Stephens,7
39,69,Genevieve Horn,3
39,690,Dana Garza,3
39,3322,Lucia Mclean,3
690,1510,Clint Duran,4
690,2507,Myra Horne,4
690,2882,Corinne Tyler,4
69,153,Gilbert Doyle,4
69,224,Ann Marshall,4
69,427,Christina Ellis,4
69,3290,Leland Berg,4
427,2876,Etta Rosales,5
2876,4107,Timothy Gomez,6
224,601,Lyman Ware,5
224,3834,Angela Murphy,5
153,256,Wilbert Lambert,5
153,394,Suzanne Holland,5
153,1795,Carmen Ware,5
153,2392,Sharon Turner,5
153,2447,Rosemarie Dickerson,5
2447,2684,Tammy Franklin,6
1795,3104,Clara Maldonado,6
394,1579,Hector Fuentes,6
394,4532,Dolores Pena,6
256,736,Dante Herman,6
256,1887,Daniel Lee,6
1887,2617,Lillie Castaneda,7
1887,4358,Mario Strong,7
736,783,Noah Hart,7
736,951,Ethan Rose,7
736,1031,Lionel Bass,7
736,1174,Alice Murray,7
736,4996,Kirk Hurst,7
1031,1360,Devin Burton,8
1031,2188,Elena Lyons,8
1031,4978,Adam Coleman,8
2188,3713,Susie Valencia,9
3713,4189,Helen Cox,10
951,1881,Bennie Duffy,8
951,2233,Roosevelt Sawyer,8
2233,3909,Elizabeth Martinez,9
2233,4760,Omar Booth,9
783,1243,Stacey Wolf,8
1243,2304,Merle Hahn,9
1243,2894,Leo Velasquez,9
2894,3907,Socorro Bean,10
17,18,Lorna Downs,2
17,30,Darlene Soto,2
17,54,Mateo Sherman,2
17,412,Mable Norton,2
17,1166,Bertha Rivas,2
1166,2319,Nicholas Morales,3
1166,2720,Jesse Knight,3
2720,3548,Javier Solis,4
412,2244,Catherine Hughes,3
2244,3357,Juan Matthews,4
54,83,Carlos Graves,3
54,161,Joan Barnes,3
54,191,Elena Lyons,3
54,202,Rafael Schneider,3
54,342,Jane Ryan,3
54,3905,Joesph Mckinney,3
202,535,Roderick Compton,4
202,1305,Morris Koch,4
202,1989,Teri Valencia,4
1305,1419,Leonard Wade,5
1305,1595,Lowell Gates,5
1305,3178,Cathy Hobbs,5
1595,2503,Angela Murphy,6
2503,2807,Anna Sherman,7
2807,4046,Christian Woods,8
1419,2445,Sharon Turner,6
191,277,Lynnette Donaldson,4
191,290,Bettie Berg,4
191,430,Rashawn Villarreal,4
191,865,Stacey Wolf,4
191,949,Margaret Sanchez,4
191,1849,Logan Stephens,4
191,2141,Ian Morrison,4
2141,3016,Madelyn Wiggins,5
2141,3617,Essie Orr,5
3617,3708,Neil Gallagher,6
3016,3298,Gabriel Spencer,6
1849,2560,Trevor Greer,5
949,1866,Mariah Jimenez,5
949,2593,Lucia Mclean,5
949,3368,Inez Rollins,5
949,4545,Mabel Donaldson,5
3368,4497,Clifford Doyle,6
2593,4752,Brian Nelson,6
1866,3696,Clark Doyle,6
865,1424,Marie Watkins,5
1424,2026,Juan Matthews,6
1424,4550,Mandy Ware,6
2026,3422,Della Mercer,7
430,557,Trevor Greer,5
430,836,Alex Banks,5
430,3116,Kenneth Hill,5
430,3208,Terrence Brennan,5
430,4445,Ina Savage,5
557,1250,Clifford Doyle,6
557,1504,Inez Rollins,6
557,1806,Roger Gibson,6
557,2092,Larry Peterson,6
557,3194,Byron Madden,6
2092,3845,Jayden Williamson,7
2092,4813,Rose Lane,7
1806,3910,Brittany Arnold,7
1504,1979,Nola Rosales,7
1504,3253,Oscar George,7
1504,3784,Rufus Sutton,7
1250,4669,Shirley Rogers,7
290,787,Abraham Pitts,5
290,2029,Andrea Reyes,5
2029,2614,Darius Nicholson,6
2029,4995,Betty White,6
787,1620,Orlando Herman,6
277,594,Elena Lyons,5
277,1358,Iva Wolf,5
277,1757,Imogene Conley,5
277,2582,Moses Stein,5
2582,3044,Bret Hays,6
2582,3894,Forrest Brandt,6
3894,4023,Lamont Velez,7
4023,4493,Roger Gibson,8
3044,4478,Joanna Floyd,7
1757,3776,Cecelia Becker,6
1757,4174,Bobbie Mccarty,6
1757,4484,Brittany Arnold,6
594,668,Bryan Palmer,6
594,1179,Cole Bennett,6
1179,1879,Rashad Villarreal,7
1179,1891,Max Castro,7
1179,3235,Thomas Anderson,7
3235,4933,Ricardo Tapia,8
668,1423,Kurt Fischer,7
668,2158,Jack Castillo,7
668,2991,Harold Reynolds,7
2991,4148,Harold Reynolds,8
2158,2602,Nina Browning,8
2602,3020,Chase Fernandez,9
1423,2335,Emmett Barber,8
1423,4295,Lenore Gillespie,8
2335,3173,Genevieve Horn,9
161,588,Erin Meyer,4
161,658,Lloyd Decker,4
161,1023,Fernando Glass,4
161,2716,Alice Murray,4
1023,2084,Kendrick Glass,5
2084,2127,Lottie Duffy,6
2127,2426,Forrest Brandt,7
2127,3714,Sergio Mcgee,7
3714,3817,Dorothy Flores,8
658,4271,Donnie Sharp,5
588,629,Rodolfo Gallagher,5
588,4566,Miles Wong,5
629,1020,Joanne Wheeler,6
629,1514,Della Mercer,6
629,2328,Gavin Peters,6
629,4187,Alma Hutchinson,6
1020,1215,Mateo Sherman,7
1020,4419,Lena Aguilar,7
83,118,Katherine Brooks,4
83,136,Ruby Stone,4
83,1797,Edwin Donaldson,4
83,4587,Jana Castaneda,4
1797,2068,Marie Watkins,5
1797,4102,Marlon Sawyer,5
136,444,Jack Castillo,5
136,1003,Aurora Andersen,5
1003,4491,Christine Wood,6
444,4662,Michael Brown,6
118,149,Joesph Mckinney,5
118,174,Brady Conway,5
118,1307,Joesph Mckinney,5
118,1781,Brandon Kim,5
118,2524,Sarah Thomas,5
2524,2546,Lynne Hobbs,6
2546,2576,Lillie Castaneda,7
1781,2692,Nannie Roth,6
1307,1342,Jewel Rivas,6
1307,1755,Samuel Watson,6
1307,4056,Dante Wilcox,6
1755,1926,Elva Roach,7
1926,3660,Doris Ruiz,8
3660,4416,Teresa Alexander,9
1342,2556,Tammy Franklin,7
1342,3056,Elizabeth Martinez,7
3056,4321,Paula Wheeler,8
2556,2742,Dewey Villarreal,8
2742,2867,Susan Lopez,9
2742,4126,Sal Larsen,9
2867,4506,Mark Clark,10
174,598,Tyler Foster,6
174,1827,Devin Burton,6
1827,3797,Marcella English,7
598,1057,Leroy Tate,7
598,2678,Forrest Brandt,7
1057,3978,Mabel Donaldson,8
149,568,Aurora Andersen,6
568,1645,Elvira Salinas,7
1645,2412,Laura Parker,8
30,159,Leigh Leach,3
30,160,Johnnie Valencia,3
30,345,Carmen Ware,3
30,1167,Byron Madden,3
30,1946,Hannah Graham,3
30,4653,Harriet Guthrie,3
1167,1335,Leah Costa,4
1335,1850,Alexander Gray,5
1850,2192,Melissa Rivera,6
1850,2350,Charles Taylor,6
1850,3109,Leigh Leach,6
3109,3920,Claude Blackburn,7
3920,4009,Ollie Paul,8
2192,4747,Dolly Lambert,7
160,314,Derek Bishop,4
160,3441,Bobby Cervantes,4
314,663,Cameron Montgomery,5
314,2096,Moshe Stein,5
663,1446,Frank James,6
1446,3970,Dolores Pena,7
3970,4284,Deborah Mitchell,8
159,1521,Shelley Ericksen,4
159,3245,Jenny Hardin,4
159,4132,Curt Macdonald,4
1521,1997,Clayton Hess,5
1521,2263,Merle Hahn,5
1521,4215,Gretchen Barrera,5
1997,2861,Elvira Salinas,6
2861,4337,Evelyn Fisher,7
18,47,Nelson Huff,3
18,63,Roger Gibson,3
18,88,Virginia Russell,3
18,132,Doris Orr,3
18,172,Michael Brown,3
18,306,Moshe Stein,3
18,429,Teri Valencia,3
18,930,Susie Valencia,3
18,1390,Gregory Chavez,3
18,2402,Lula Charles,3
18,2698,Luis Gutierrez,3
18,2827,Terry Ford,3
18,2885,Clifford Doyle,3
2402,2612,Lena Aguilar,4
2402,3340,Dewayne Buck,4
2612,3842,Aurora Andersen,5
1390,1440,Kevin Green,4
1390,1548,Cameron Montgomery,4
1390,3264,Eric Cook,4
3264,4511,Mason Greene,5
4511,4521,Dorian Serrano,6
4521,4976,Morris Koch,7
1440,2379,Lori Marshall,5
1440,3629,Iris Farrell,5
3629,4118,Marilyn Ferguson,6
2379,2416,Eddie Barber,6
930,2258,Verna Krause,4
2258,4620,Patrick Price,5
429,955,Lynne Hale,4
429,1012,Bonnie Hale,4
429,2601,Mitchell Santiago,4
2601,3827,Loretta Mora,5
3827,4017,Johnnie Boyer,6
4017,4317,Emma Kelly,7
1012,1384,Tammy Franklin,5
1012,4454,Pat Moran,5
1384,1608,Russell Duncan,6
1608,1814,Teri Valencia,7
1814,4902,Eula Lindsey,8
955,1628,Ellen Carr,5
955,1916,Douglas Henderson,5
1916,4938,Essie Orr,6
1628,1657,Lottie Duffy,6
1628,3408,Kurtis Tate,6
1628,4977,Alma Hutchinson,6
1657,1704,Samantha Richardson,7
306,705,Debra Bennett,4
306,1428,Garry Huff,4
172,4415,Leigh Leach,4
132,281,Nina Browning,4
132,841,Ralph Olson,4
132,1436,Toby Kirk,4
132,1605,Laura Parker,4
132,2277,Javier Solis,4
1605,2516,Mildred Snyder,5
2516,2776,Rashad Villarreal,6
2516,2997,Rocco Brennan,6
2516,4207,Tammy Franklin,6
2516,4364,Patrick Price,6
2997,4643,Julia Ruiz,7
2997,4846,Lela Montoya,7
1436,2744,Sal Larsen,5
2744,3179,Leona Olsen,6
3179,3238,Amanda Baker,7
3179,4111,Sara Griffin,7
4111,4640,Martin Sharp,8
841,1055,Lawrence Owens,5
841,1515,Dixie Potter,5
1055,2281,Judy Armstrong,6
1055,4034,Mable Norton,6
4034,4173,Dante Herman,7
281,454,Dolly Lambert,5
281,480,Grace Fox,5
281,524,Blake Harvey,5
281,952,Graham Pitts,5
281,1665,Lori Marshall,5
281,1717,Logan Stephens,5
281,4013,Stephen Morgan,5
281,4809,Sterling Glass,5
952,1059,Anthony Harris,6
952,2031,Jack Castillo,6
1059,2097,Dino Decker,7
1059,4684,Chase Fernandez,7
480,947,Eleanor Vargas,6
480,1851,Virginia Russell,6
480,4040,Alfonso Friedman,6
947,1008,Luis Gutierrez,7
947,2081,Robyn Roach,7
947,3014,Willard Vinson,7
2081,3024,Andrew Wright,8
1008,4240,Rusty Berg,8
454,638,Darlene Simon,6
454,1098,Mark Clark,6
454,3127,Joseph Gonzalez,6
454,4847,Kerry Donovan,6
4847,4921,Marcella English,7
3127,3330,Glenda Reid,7
1098,1324,Aida Lindsey,7
1098,1572,Ellis Mcgee,7
1098,3100,Neva Bradford,7
1572,2057,Pat Moran,8
638,2273,Marsha Fleming,7
2273,4192,Garry Huff,8
88,312,Rolando Hammond,4
88,796,Leona Olsen,4
796,859,Connie Gross,5
859,1182,Nicole Ramos,6
1182,2012,Peter Vasquez,7
1182,2761,Nathan Gonzales,7
1182,3281,Sarah Thomas,7
2761,3395,Deborah Mitchell,8
2761,4199,Julia Ruiz,8
2012,3561,Rocco Parrish,8
2012,3770,Colleen Richards,8
2012,4899,Cyrus Fuentes,8
3561,4025,Devin Burton,9
312,721,Max Castro,5
721,2650,Nola Rosales,6
63,74,Lamont Velez,4
63,334,Ian Morrison,4
63,455,Salvador Larsen,4
63,637,Orlando Herman,4
63,932,Cyrus Fuentes,4
932,1229,Elijah Andrews,5
932,1312,Paul Allen,5
932,2030,Maureen Fields,5
932,4014,Marsha Fleming,5
1229,1231,Terrence Brennan,6
637,1097,Rosie Hahn,5
637,1151,Janelle Castaneda,5
637,2054,Carroll Bullock,5
637,2102,Jill McCoy,5
1151,2798,Rene Booker,6
2798,3592,Victoria Willis,7
1097,1294,Jeri Charles,6
1097,3522,Dennis Patel,6
3522,4078,Jerry Long,7
1294,1750,Lenore Gillespie,7
1750,2653,Johnnie Boyer,8
2653,3852,Kathleen Reyes,9
2653,4549,Cathy Hobbs,9
455,875,Steven Walker,5
875,1654,Aida Lindsey,6
875,1802,Juan Matthews,6
875,1836,Doreen Orr,6
875,2541,Genevieve Horn,6
2541,4707,Donald Lewis,7
1836,1924,Lorna Downs,7
1924,2166,Dorothy Flores,8
1802,4638,Pat Moran,7
1654,3570,Ross Stein,7
334,527,Mamie Rollins,5
334,593,Jeffrey Diaz,5
334,916,Orlando Herman,5
334,959,Lenore Gillespie,5
959,1117,Ann Marshall,6
959,1530,Rex Baird,6
959,2130,Cathleen Rosario,6
1117,2830,Leigh Leach,7
2830,3569,Lena Aguilar,8
3569,4182,Janice West,9
3569,4510,Stuart Sweeney,9
916,4134,Jonathan Gutierrez,6
593,2488,Cameron Montgomery,6
2488,3320,Susan Lopez,7
527,1110,Paula Wheeler,6
527,1477,Susie Valencia,6
1477,2814,Moses Stein,7
1477,4778,Daren Booth,7
2814,4003,Clark Doyle,8
74,86,Rod Gallagher,5
74,207,Evelyn Fisher,5
74,522,Cynthia Edwards,5
74,4953,Nora Andersen,5
522,682,Alex Banks,6
522,1481,Winifred Bender,6
522,2572,Joesph Mckinney,6
522,3940,Ruth Myers,6
3940,4371,Elma Salinas,7
1481,4191,Alan Pierce,7
682,1974,Tommy Oneal,7
682,2460,Brady Conway,7
2460,3749,Elvira Salinas,8
2460,3932,Eric Cook,8
1974,2279,Nannie Roth,8
207,519,Lynnette Donaldson,6
519,555,Eddie Barber,7
519,1536,Lynnette Donaldson,7
519,1833,Kimberly Young,7
1833,3707,Anthony Harris,8
1833,4677,Tyson Oneal,8
3707,4954,Jesus Alexander,9
1536,1571,Cameron Montgomery,8
1571,4206,Pedro Espinoza,9
555,853,Joe Kim,8
555,1010,Rolland Buck,8
555,1064,Kurt Fischer,8
1010,1693,Esperanza Middleton,9
1010,2568,Roy Ray,9
1010,4710,Joann Sullivan,9
1693,2918,Roy Ray,10
1693,3975,Hector Lambert,10
1693,4264,Faye Higgins,10
853,1351,Jill McCoy,9
853,4147,Leticia Klein,9
1351,1682,Denise Lawrence,10
86,189,Madeline Mays,6
86,308,Kevin Green,6
86,332,James Smith,6
86,415,Rene Ware,6
86,2005,Neil Gallagher,6
2005,2829,Alma Hutchinson,7
415,3814,Luis Gutierrez,7
308,799,Debra Bennett,7
308,1088,Shawn Tate,7
308,4366,Alan Castillo,7
4366,4461,Zachary Romero,8
1088,1285,Tracy Alvarez,8
1088,3122,Nicole Ramos,8
1285,1627,Michelle Nguyen,9
1285,2336,Lana Middleton,9
1285,3452,Jodie Wiggins,9
189,274,Lana Middleton,7
189,871,Rene Booker,7
189,2443,Rocco Brennan,7
2443,4517,Joann Sullivan,8
871,2661,George Hall,8
274,860,Alexander Gray,8
274,1298,Kristine Ashley,8
274,3321,Elena Lyons,8
274,4161,Salvador Larsen,8
274,4430,Chase Fernandez,8
4430,4465,Jewel Rivas,9
1298,1319,Reid Velasquez,9
1319,1673,Marsha Fleming,10
1319,3063,Sean Harrison,10
1319,4400,Brian Nelson,10
860,1152,Christopher Jackson,9
860,1338,Myra Horne,9
860,2091,Lorene Vaughan,9
2091,2387,Jeannette Norton,10
1338,1344,Carmen Ware,10
1338,2227,Jason Evans,10
1338,3202,Lisa Perez,10
1152,1341,Mandy Ware,10
47,60,Angelo Pacheco,4
47,72,Bobby Cervantes,4
47,169,James Smith,4
47,185,Adam Coleman,4
47,333,Rebecca Phillips,4
47,488,Naomi Middleton,4
47,499,Cesar Parrish,4
47,3028,Clark Doyle,4
47,4603,Wilbur Serrano,4
4603,4708,Ina Savage,5
499,851,Donald Lewis,5
851,3934,Andre Hampton,6
3934,4376,Jackie Higgins,7
488,509,Marcia Jennings,5
488,652,Rosalind Pena,5
488,731,Kathryn Hayes,5
488,813,Karen Moore,5
488,1639,Velma Brennan,5
488,1742,Rose Lane,5
488,4167,Raul Morse,5
1742,2137,Johnnie Boyer,6
1742,2941,Gary Stewart,6
2137,4668,Olga Mora,7
1639,2360,Francisca Ware,6
813,1192,Roosevelt Sawyer,6
813,1465,Essie Orr,6
813,2548,Rashad Villarreal,6
2548,3754,Rolando Herman,7
1192,2018,Gary Stewart,7
1192,4572,Lillie Castaneda,7
731,2264,Elizabeth Martinez,6
652,782,Olive Bean,6
652,1646,Cecilia Brock,6
652,4370,Marlin Fuentes,6
1646,2975,Colleen Russell,7
1646,3314,Kimberly Young,7
2975,4106,Larry Peterson,8
2975,4265,Bobbie Mccarty,8
782,1178,Gavin Peters,7
1178,2462,Larry Peterson,8
509,1458,Jackie Higgins,6
1458,4761,Rocco Parrish,7
1458,4824,Harold Reynolds,7
333,371,Noreen Yates,5
333,375,Morgan Hansen,5
333,462,Jack Castillo,5
462,1554,Sally Payne,6
462,2243,Marcie Franco,6
462,3468,Christina Ellis,6
462,4110,Reba Tyler,6
1554,2122,Christian Carpenter,7
1554,3596,Salvatore Odonnell,7
375,501,Joan Barnes,6
375,1060,Dianne Potter,6
375,2317,Jane Ryan,6
375,2696,Edwin Donaldson,6
375,3740,Sergio Mcgee,6
2317,2456,Nellie Norton,7
1060,2011,Paul Allen,7
1060,2348,Sal Larsen,7
1060,2411,Javier Solis,7
1060,2775,Candy Wolf,7
1060,2868,Bettie Berg,7
1060,3652,Bobbie Mccarty,7
501,1771,Edward Campbell,7
501,2292,Faith Bender,7
501,3159,Miles Wong,7
371,608,Miles Wong,6
371,1132,Aiden Schmidt,6
371,1894,Moses Stein,6
371,3249,Clayton Hess,6
3249,4863,Erin Meyer,7
1894,2301,Austin Harper,7
1894,2771,Arlene Moon,7
1132,3889,Irene Glover,7
608,1054,Virginia Russell,7
608,1793,Socorro Bean,7
608,2072,Alex Banks,7
1054,1370,Roger Gibson,8
1054,1786,Terry Ford,8
1054,2239,Evelyn Fisher,8
1054,4660,Brenda Cooper,8
2239,3167,Lizzie Vance,9
2239,4383,Lula Charles,9
1786,2037,Opal Gould,9
2037,4434,Bret Hays,10
1370,4709,Jeri Charles,9
185,372,Sarah Thomas,5
185,1528,Marcella English,5
1528,4092,Rosemarie Dickerson,6
372,453,Eric Cook,6
372,1531,Richard Hernandez,6
1531,3550,Elena Lyons,7
453,570,Manuel Klein,7
570,4196,Rocco Parrish,8
169,246,Aida Lindsey,5
169,520,Jeff Bass,5
169,3069,Joesph Mckinney,5
520,614,Kathy Cole,6
520,702,Mario Strong,6
520,811,Omar Booth,6
520,1886,Marcella English,6
520,3250,Lenore Gillespie,6
3250,3512,Lenore Gillespie,7
1886,3323,Johnnie Valencia,7
3323,3632,Darnell Sharp,8
811,2414,Dennis Patel,7
811,2712,Juanita Krueger,7
811,4219,Ricardo Buck,7
614,2551,Bruce Perkins,7
614,3695,Antoinette Brennan,7
2551,3918,Gilbert Doyle,8
3918,4011,Don Morse,9
3918,4333,Ian Morrison,9
246,770,Moses Stein,6
246,971,Inez Conley,6
971,1631,Forrest Brandt,7
1631,1872,Kathleen Reyes,8
1631,2088,Nell Wiley,8
1631,2140,Joanna Floyd,8
1631,2912,Jackie Higgins,8
1631,4392,Donovan Morse,8
2140,2237,Darrin Kirk,9
2140,3275,Olive Bean,9
2088,3914,Lyle Ware,9
1872,3419,Brady Conway,9
770,1210,Olive Bean,7
770,1283,Megan Simmons,7
72,170,Christina Ellis,5
72,214,Rufus Sutton,5
214,390,Erin Meyer,6
214,2515,Doris Orr,6
214,4746,Ellen Carr,6
390,404,Eric Cook,7
390,4197,Dante Wilcox,7
390,4403,Ann Marshall,7
404,434,Shane Stevens,8
404,618,Joyce Butler,8
404,752,Toby Kirk,8
752,794,Ronald Carter,9
752,1405,Corinne Tyler,9
752,1475,Troy Joseph,9
752,2787,Ricardo Buck,9
752,4368,Fabian Joseph,9
2787,3303,Joe Kim,10
1475,1699,Rosalyn Browning,10
1475,1873,Leigh Leach,10
1475,3237,Charles Taylor,10
1475,3271,Lyman Ware,10
1405,1988,Shelia Horn,10
794,835,Darius Nicholson,10
618,660,Frances Mills,9
618,1126,Bradford Mcclure,9
1126,2958,Judith Bryant,10
1126,3473,Wallace Roy,10
660,883,Theresa Gardner,10
660,4051,Denise Grant,10
660,4943,Olivia Ross,10
434,2845,Lamont Velez,9
434,3102,Wilbur Serrano,9
2845,3286,Freddie Rubio,10
2845,4792,Tommy Oneal,10
170,2103,Morgan Hansen,6
170,2622,Lottie Duffy,6
170,3609,Angelo Pacheco,6
170,3860,Elsa Novak,6
2622,3232,Willie Nichols,7
60,129,Mable Norton,5
60,324,Ricardo Tapia,5
60,2791,Grant Sutton,5
324,826,Nina Browning,6
324,1204,Brittany Arnold,6
324,2139,Nannie Roth,6
2139,2342,Kimberly Young,7
2139,3425,Keith Ferguson,7
2342,4987,Lillian Berry,8
1204,2339,Donovan Morse,7
1204,4041,Keith Ferguson,7
826,1401,Neal Thornton,7
826,3650,Sadie Leach,7
1401,1633,Marilyn Ferguson,8
1401,4629,Virginia Russell,8
1633,2393,Samuel Watson,9
1633,3822,Muriel Glover,9
3822,4691,Faith Bender,10
129,138,Roy Ray,6
129,468,Dewayne Solis,6
129,3082,Bryan Palmer,6
468,605,Sean Harrison,7
468,847,Tommy Oneal,7
468,2633,Essie Orr,7
2633,2804,Kenneth Hill,8
2633,3880,Orlando Herman,8
847,3437,Hector Lambert,8
847,3913,Laura Parker,8
605,1085,Mable Norton,8
605,1175,Ruby Stone,8
605,2648,Claude Blackburn,8
2648,2923,Iris Farrell,9
2923,3455,Teri Valencia,10
1175,2857,Denise Grant,9
1085,1122,Erich Floyd,9
1085,2642,Fabian Joseph,9
1085,4306,Noah Hart,9
4306,4648,Myrtle Yates,10
1122,1615,Austin Harper,10
138,1193,Forrest Brandt,7
138,2890,Lawrence Owens,7
1193,1491,Rene Ware,8
1193,2658,Willie Nichols,8
2658,4294,Rashad Velez,9
2658,4606,Jason Evans,9
4606,4986,Myra Horne,10
1491,4534,Deborah Mitchell,9
12,20,Hector Lambert,2
12,24,Kevin Green,2
12,27,Patricia Davis,2
12,33,Sondra Bean,2
12,165,Alma Hutchinson,2
12,1144,Olga Mora,2
12,1596,Marie Watkins,2
1596,2238,Clark Doyle,3
1596,3392,Donald Lewis,3
2238,3362,Erin Meyer,4
165,2846,Donnie Sharp,3
33,391,Patsy Glover,3
33,510,Fernando Glass,3
33,679,Ian Morrison,3
33,1709,Catherine Hughes,3
1709,1987,Byron Madden,4
1709,2183,Lenore Gillespie,4
2183,3674,Arthur Cole,5
679,802,Lowell Gates,4
679,834,Rose Lane,4
679,2785,Darnell Sharp,4
834,988,Brady Conway,5
834,2471,Cecelia Becker,5
802,4095,Raul Morse,5
510,645,Mable Norton,4
510,760,Elva Roach,4
510,954,Sarah Thomas,4
510,3191,Jacob Collins,4
954,1168,Gary Stewart,5
954,2010,Gavin Peters,5
2010,4496,Aaron Powell,6
1168,4893,Darius Nicholson,6
760,924,Noah Hart,5
924,976,Shelia Horn,6
924,1271,Roosevelt Sawyer,6
924,1286,Stuart Sweeney,6
924,1540,Blake Harvey,6
924,1984,Lillie Castaneda,6
1984,3481,Janelle Castaneda,7
1540,3206,Neal Thornton,7
3206,3552,Wayne Wagner,8
1286,2064,Benjamin Ward,7
1286,2834,Alex Banks,7
2064,3415,Maureen Fields,8
2064,3686,Laura Parker,8
2064,4853,Clement Hood,8
3686,3858,Jesus Alexander,9
3686,4259,Kurtis Tate,9
3415,4971,Ronald Carter,9
1271,1337,Oscar George,7
1271,3113,Brenda Cooper,7
1337,1877,Douglas Henderson,8
1337,3555,Mona Bender,8
1877,3083,Dylan Bradley,9
1877,3654,Angela Murphy,9
3083,3222,Gary Stewart,10
976,1438,Jennie Salinas,7
976,1671,Irma Farrell,7
976,1948,Rashawn Villarreal,7
976,3410,Marie Watkins,7
976,3595,Elvira Salinas,7
3595,3805,Steven Walker,8
1948,3504,Nancy Martin,8
1671,1738,Dylan Bradley,8
1671,1808,Clifford Doyle,8
1808,2574,Tammy Franklin,9
2574,3836,Judith Bryant,10
645,1821,Isaiah Lawson,5
645,2752,Darnell Merritt,5
2752,2990,Darin Pena,6
2752,3703,Claude Blackburn,6
2990,4755,Marshall Barton,7
1821,2253,Daren Booth,6
2253,3513,Freddie Rubio,7
391,463,Lucille Calderon,4
391,733,Elsa Novak,4
391,987,Austin Harper,4
391,3915,Dante Herman,4
391,4969,Marilyn Ferguson,4
987,1105,Gustavo Pitts,5
987,1854,Mona Bender,5
987,2485,Betty White,5
1854,2136,Leigh Leach,6
1854,2425,Chase Fernandez,6
463,561,Joseph Gonzalez,5
463,1603,Marcella English,5
463,1969,Raul Morse,5
463,3091,Della Mercer,5
463,4485,Kenneth Hill,5
1603,1677,Donnie Sharp,6
1603,3447,Graham Pitts,6
3447,4749,Monte Strong,7
1677,4119,Nina Browning,7
1677,4929,Nancy Martin,7
27,340,Adrian Pacheco,3
27,900,Wilbert Lambert,3
27,1066,Judy Armstrong,3
27,1292,Calvin Ortega,3
27,2383,Joann Sullivan,3
27,3946,Alberta York,3
27,4109,Susie Valencia,3
4109,4303,Susan Lopez,4
4109,4835,Forrest Brandt,4
2383,2623,Kurt Fischer,4
2383,4581,Aileen Lindsey,4
2623,2735,Mamie Rollins,5
2623,3861,Stephanie Roberts,5
3861,4663,Cathy Hobbs,6
2735,3356,Carmen Ware,6
3356,3856,Randal Kaufman,7
3356,4876,Angela Murphy,7
1292,1961,Faye Higgins,4
1292,2329,Willard Vinson,4
1292,4410,Claude Blackburn,4
1961,2168,Mildred Snyder,5
2168,3203,Abraham Pitts,6
2168,4837,Roslyn Browning,6
3203,3328,Russell Duncan,7
1066,1908,Elijah Andrews,4
1908,2115,Agnes Farrell,5
340,1279,Keith Ferguson,4
24,506,Rocco Brennan,3
20,31,Trevor Greer,3
20,76,Kristine Ashley,3
20,216,Marie Watkins,3
20,241,Stephanie Roberts,3
20,1017,Earnest Barber,3
20,1408,Olga Mora,3
20,2652,Mamie Rollins,3
1017,1660,Amber Chavez,4
241,474,Alma Hutchinson,4
241,701,Nannie Roth,4
241,1822,Jeannine Krause,4
241,3285,Clara Maldonado,4
241,4201,Nora Andersen,4
701,1564,Janelle Castaneda,5
1564,1960,Giovanni Koch,6
1564,4903,Ross Stein,6
1960,2820,Benjamin Ward,7
2820,3485,Doreen Orr,8
3485,4283,Rosie Hobbs,9
474,526,Giovanni Koch,5
474,1011,Walter Patterson,5
474,1590,Darnell Sharp,5
474,2675,Margaret Sanchez,5
1590,2881,Hector Fuentes,6
1011,2326,Janet Sanders,6
1011,2891,Yolanda Roth,6
